PACKAGE_NAME,RISK_LEVEL,PROB_MALICIOUS
allure-decorators-2.15.1,LOW,0.02452
allure-js-commons-3.4.2,LOW,0.03024
allure-js-parser-0.1.0,LOW,0.01352
alphafi__alphalend-sdk-1.1.26,LOW,0.04258
alpine-lazy-load-assets-1.3.1,LOW,0.04871
alpinejs-component-1.2.12,LOW,0.0
alpinejs-notify-1.0.4,LOW,0.0
alternative-facts-2.1.0,LOW,0.04871
altizure-2.12.25,LOW,0.0
altv__types-shared-16.6.0,LOW,0.04844
amaui__style-1.1.21,MEDIUM,0.07701
amaui__style-react-1.1.35,LOW,0.02263
amazon-quicksight-embedding-sdk-2.11.0,MEDIUM,0.14438
aminya__cmake-ts-0.3.0-aminya.7,LOW,0.04873
amocrm-js-3.6.0,MEDIUM,0.06295
ampersand-class-extend-2.0.0,LOW,0.04871
amplify-nodejs-function-template-provider-2.6.5,LOW,0.04871
amplitude-js-8.21.9,MEDIUM,0.06
analogger-2.0.2,LOW,0.02149
anarchitects__nx-js-0.0.2,LOW,0.01352
anatine__zod-mock-3.14.0,LOW,0.01352
anchor-link-browser-transport-3.6.1,LOW,0.03264
andrao__eslint-2.2.2,LOW,0.00446
andrao__prettier-1.0.3,LOW,0.01088
andrao__tailwind-1.2.0,LOW,0.00693
androozka__zendesk-api-js-2.0.3,LOW,0.0
aneeven__js-cloudimage-360-view-3.2.1,MEDIUM,0.04886
angular-auth0-3.1.0,LOW,0.04871
angular-esri-components-2.0.0,LOW,0.01335
angular-feature-flags-1.6.1,LOW,0.03057
angular-filepicker-1.1.4,LOW,0.02434
angular-magic__ngx-gp-autocomplete-2.0.2,LOW,1e-05
angular-mgl-timeline-1.1.0,LOW,0.04233
angular-morris-js-2.0.1,LOW,0.01352
angular-nvd3-1.0.9,MEDIUM,0.13482
angular-object-diff-1.0.3,LOW,0.03141
angular-promise-buttons-0.1.23,LOW,0.01689
angular-wizard-1.1.1,LOW,0.00425
angular2gridster-13.0.0,LOW,0.04233
angulartoolsdr__buttons-21.0.0,LOW,0.01352
anoop901__js-util-1.1.8,LOW,0.04871
anshulsanghi__googlemaps-vitest-mocks-1.0.1,LOW,3e-05
antbat__base-client-js-0.2.14,HIGH,0.9763
antd-style-3.7.1,LOW,0.0094
antv__chart-advisor-2.0.5-alpha.0,MEDIUM,0.081
anycable__serverless-js-0.2.1,LOW,0.00014
anyi-properties-panel-13.0.46,MEDIUM,0.04908
anymod__core-0.1.51,MEDIUM,0.0859
apache-dubbo-js-3.0.0-rc6,LOW,0.00947
apg-api-1.0.1,MEDIUM,0.1427
apg-conv-api-1.0.1,MEDIUM,0.14256
apg-js-4.4.0,MEDIUM,0.07308
apg-lib-3.1.1,LOW,0.04176
aphrodite-2.4.0,MEDIUM,0.13974
api-arreya-types-1.0.32,LOW,0.04871
api-testrail-1.2.3,LOW,0.0
apitoolkit-js-3.3.3,LOW,0.00075
apm-js-collab__code-transformer-0.8.2,LOW,0.02405
app-masters__js-lib-1.2.23,MEDIUM,0.09156
appbaseio__vue-emotion-0.6.0-alpha.6,LOW,0.04188
appblocks__js-sdk-0.0.15,LOW,0.0
appboy-web-sdk-3.5.1,LOW,0.02425
apple-mapkit-js-6.1.0,LOW,0.00114
apple-pay-js-stubs-1.0.4,LOW,0.0
apple__cktool.api.base-1.3.2,LOW,0.00956
apple__cktool.database-1.3.2,LOW,0.04233
apple__cktool.target.nodejs-1.3.2,LOW,0.0
appsfactory__cypress-audit-3.0.4,LOW,0.02875
apptracer__sdk-2.6.3,LOW,0.04837
arc-publishing__sdk-identity-1.94.0,LOW,0.0
arc-publishing__sdk-sales-1.94.0,LOW,0.0
arc-ui__bundle-11.26.1,MEDIUM,0.04881
arcblock__bridge-3.2.8,LOW,0.0062
arces-wot__sepa-js-0.14.0,LOW,0.01135
arcgis__charts-js-common-4.32.15,LOW,4e-05
arcteryx__js-language-1.29.0,LOW,0.04871
arcteryx__js-price-2.2.0,LOW,0.02377
arction__lcjs-themes-3.2.1,LOW,4e-05
ardatan__grpc-reflection-js-0.0.2,LOW,0.00015
ardatan__raml-1-parser-1.1.69,LOW,0.01936
arduino-create-agent-js-client-2.15.1,LOW,0.01383
arduino-iot-js-0.9.7,LOW,3e-05
area17__a17-helpers-3.3.2,LOW,0.00685
arekx__data-flow-js-1.1.13,LOW,0.04871
argonautdev__midgard-js-sdk-0.11.4,LOW,0.0
aribb24.js-2.0.12,LOW,0.0287
arkntools__arknights-fbs-js-0.0.5,LOW,0.02613
arkntools__unity-js-4.1.1,LOW,0.00151
arkntools__unity-js-tools-3.2.0,LOW,0.04871
arkntools__unity-js-tools-wasm-3.2.0,LOW,0.01797
array-extensions-1.0.1,LOW,0.04871
arrows__array-1.4.1,LOW,0.04871
arseeding-js-fido-0.1.1,LOW,0.04419
arstotzka-0.14.4,LOW,0.04871
articstudio__js-bin-2.3.2,LOW,0.02628
artisan-cloud__ubt-js-1.0.2,LOW,0.0003
artmoi__artmoi-js-sdk-0.0.30,LOW,0.04871
arweave-1.15.7,MEDIUM,0.06621
as-expression-1.0.0,LOW,0.01352
ascertain-2.0.81,LOW,9e-05
ascii-art-2.8.5,LOW,0.0015
asgardeo__auth-js-5.1.2,LOW,0.00304
asgardeo__js-0.1.3,LOW,0.01611
asimovdev__asimovjs-1.1.18,LOW,0.0
ask-sdk-test-2.7.42,MEDIUM,0.14663
asn1.js-5.4.1,LOW,0.00145
asn1.js-rfc2560-5.0.1,LOW,0.04871
asn1.js-rfc3280-4.0.0,LOW,0.0
asn1.js-rfc5280-3.0.0,LOW,0.04871
assemblyvoting__js-client-5.0.0-rc.3,LOW,0.04032
assistsx-js-0.0.2046,LOW,0.03134
ast-to-literal-0.0.5,LOW,0.04871
ast-types-0.14.2,LOW,0.04871
ast-types-x-1.18.0,MEDIUM,0.04951
ast-types-yx-0.14.2,LOW,0.04871
aster-js__async-1.4.1,MEDIUM,0.14172
aster-js__collections-1.0.5,LOW,0.04871
aster-js__core-1.3.3,MEDIUM,0.14172
aster-js__decorators-1.1.0,LOW,0.04871
aster-js__dom-1.1.0,LOW,0.04871
aster-js__events-1.3.0,LOW,0.04871
aster-js__iterators-1.2.3,MEDIUM,0.13138
astro-imagetools-0.9.0,LOW,0.00067
astx__compiler-2.4.1,LOW,0.04871
async-test-tools-1.0.7,LOW,0.04871
atlaskit__css-0.16.0,LOW,0.00354
atlaskit__feature-gate-js-client-5.5.7,LOW,0.00687
atn-js-0.1.45,HIGH,0.82295
atrament-5.1.0,LOW,0.00017
attic__noms-69.8.0,MEDIUM,0.06893
attio-js-0.1.1,LOW,0.04394
audi__audi-ui-1.0.0-alpha.2,MEDIUM,0.14902
augustdigital__react-4.4.5,LOW,0.04871
augustdigital__sdk-4.7.3,LOW,0.0
augustdigital__types-4.1.0-alpha,LOW,0.04871
aurelia-mask-2.0.1,LOW,0.01352
auth-js-0.0.16,LOW,0.0
auth-kit__next-4.0.2-alpha.11,LOW,0.04871
auth-yurt-js-sdk-1.0.9,LOW,0.0
auth0-js-9.29.0,MEDIUM,0.1822
auth0__auth0-acul-js-1.0.0,LOW,0.0446
auth0__auth0-spa-js-2.9.1,MEDIUM,0.05734
authorizerdev__authorizer-js-2.0.3,LOW,0.003
authzed__authzed-js-node-1.6.1,MEDIUM,0.04914
autoai-js-sdk-1.0.54,LOW,0.01088
automapper-js-1.0.15,LOW,0.04871
automattic__jetpack-ai-client-0.33.21,LOW,0.03988
autotelic__eslint-config-js-0.4.0,LOW,0.00883
autumn-js-0.1.48,LOW,0.0
av6-core-1.1.4,LOW,0.03999
availity__analytics-core-6.0.6,LOW,0.02952
availity__upload-core-8.1.1,LOW,0.0363
avalabs__avalanchejs-5.0.0,LOW,0.03535
aveq-research__localforage-asyncstorage-driver-3.0.1,LOW,0.0394
avo-inspector-2.2.0,MEDIUM,0.14186
avoid-js__avoid-js-0.0.12,MEDIUM,0.15355
await-to-js-3.0.0,MEDIUM,0.14542
aws-amplify__amplify-nodejs-function-template-provider-2.10.18,LOW,0.04871
aws-crypto__crc32-5.2.0,LOW,0.04871
aws-crypto__crc32c-5.2.0,LOW,0.04871
aws-crypto__sha256-browser-5.2.0,LOW,0.04871
aws-crypto__sha256-js-5.2.0,LOW,0.0484
aws-elasticsearch-js-1.0.3,LOW,0.02247
aws-kms-ethers-signer-0.1.3,LOW,0.04204
aws-kms-signer-0.5.3,MEDIUM,0.04902
aws-sdk-js-v3-all-3.932.0,LOW,0.0
aws-sdk-proxy-1.0.0,LOW,0.01352
aws4fetch-1.0.20,LOW,1e-05
ax-sdk-chatbot-1.1.6,LOW,0.0324
axah__js-utils-3.1.0,LOW,0.04871
axelar-network__axelarjs-types-1.2.1,LOW,0.00138
axiomhq__js-1.3.1,LOW,0.04734
axios-queue-js-1.1.6,LOW,0.04871
axon-2.0.3,LOW,0.00208
aylx__bpmn-js-behaviors-1.0.7,LOW,0.04871
azns__resolver-core-2.1.0,MEDIUM,0.14275
aztec__kv-store-2.1.7,MEDIUM,0.04881
aztro-js-0.1.5,LOW,0.04418
azure-maps-drawing-tools-1.0.5,MEDIUM,0.16631
azure-tools__js-sdk-release-tools-2.15.1,LOW,0.0
azure-tools__test-recorder-3.5.2,LOW,0.02355
azure__communication-email-1.1.0,MEDIUM,0.06142
azure__event-hubs-6.0.0,MEDIUM,0.04972
azure__msal-browser-4.26.2,LOW,0.0
azure__msal-common-15.13.2,LOW,0.0
baatomaps__baato-js-client-1.5.0,LOW,0.00302
babel-istanbul-0.12.2,MEDIUM,0.14313
babel-plugin-define-var-0.1.0,LOW,0.01088
babel-plugin-dual-import-1.2.1,LOW,0.04233
babel-plugin-ember-modules-api-polyfill-3.5.0,LOW,0.04747
babel-plugin-emotion-11.0.0,LOW,0.04871
babel-plugin-filbert-0.0.8,LOW,0.01352
babel-plugin-inline-json-import-0.3.2,LOW,0.04871
babel-plugin-js-logger-1.0.17,LOW,0.01352
babel-plugin-polyfill-corejs2-0.4.14,LOW,0.01341
babel-plugin-polyfill-corejs3-0.13.0,LOW,0.01352
babel-plugin-tailwind-components-0.5.10,MEDIUM,0.14172
babel-plugin-transform-import-css-1.0.0-alpha.11,LOW,0.02668
babel-plugin-transform-import-styles-0.0.11,LOW,0.01281
babel-plugin-wrap-in-js-1.1.1,LOW,0.04871
babel-watch-7.8.1,LOW,0.03649
babel__plugin-syntax-json-strings-7.8.3,LOW,0.01352
babel__plugin-transform-json-strings-7.27.1,LOW,0.01352
babel__runtime-corejs2-7.28.4,LOW,0.01369
babel__runtime-corejs3-7.28.4,LOW,0.01369
back-off-4.3.0,LOW,0.04871
backbone-1.6.1,MEDIUM,0.14212
backbone-poller-1.1.4,LOW,0.02542
backend-js-1.5.10,LOW,0.04172
backendless-js-services-core-0.8.15,LOW,0.0
badger-accordion-1.2.4,LOW,0.04871
bambusgamer__toolbox-5.1.1,LOW,0.04871
banner-webpack-plugin-0.2.3,LOW,0.04871
barnard59-env-1.2.7,LOW,0.04871
barstool__entity-0.4.5,LOW,0.04871
basalt__twig-renderer-3.2.7,LOW,0.00148
base16-1.0.0,LOW,0.0
base32.js-0.1.0,LOW,0.04397
base58-js-3.0.3,LOW,0.04265
base64-2.1.0,LOW,0.01352
base64-js-1.5.1,LOW,0.0138
baseframe-js-7.1.5,MEDIUM,0.21939
basestar-0.0.8,LOW,0.04871
basicauth-middleware-3.1.1,LOW,0.04871
basis-theory__basis-theory-react-1.32.5,LOW,0.01348
basketry__typescript-dtos-0.2.4,LOW,0.04871
basketry__typescript-http-client-0.3.2,LOW,0.03929
batch-processor-1.0.0,LOW,0.04871
bazel__terser-5.8.1,LOW,1e-05
bbob__core-4.3.1,MEDIUM,0.14172
bcrypt-node-0.1.0,LOW,0.0457
bcrypt-pbkdf-1.0.2,LOW,0.01352
bcrypto-5.5.2,LOW,0.00678
beatoz__web3-1.6.5,LOW,0.01424
beatoz__web3-abi-1.6.5,LOW,0.03374
beatoz__web3-accounts-1.6.5,LOW,0.00473
beatoz__web3-contract-1.6.5,LOW,0.03955
beatoz__web3-core-1.6.5,MEDIUM,0.06314
beatoz__web3-errors-1.6.5,LOW,0.03728
beatoz__web3-methods-1.6.5,LOW,0.00214
beatoz__web3-providers-http-1.6.5,LOW,0.00425
beatoz__web3-providers-ws-1.6.5,MEDIUM,0.06599
beatoz__web3-rpc-1.6.5,LOW,0.0
beatoz__web3-types-1.6.5,LOW,0.02275
beatoz__web3-utils-1.6.5,LOW,0.0411
beatoz__web3-validator-1.6.5,LOW,0.0338
beerslider-1.0.3,LOW,0.03916
beixi__compress-1.0.69,LOW,0.0
bells-secp256k1-0.1.1,LOW,0.02083
belocal__js-sdk-0.4.2,LOW,0.01027
bemi-db__supabase-js-0.1.0,LOW,0.04871
bergos__jsonparse-1.4.2,LOW,1e-05
bessel-1.0.2,LOW,0.04582
betarost__cemjs-1.1.34,LOW,0.04477
better-graphql-16.7.2,LOW,0.01125
beyounglabs__alfred-3.1.32,LOW,0.04426
bezier-js-6.1.4,MEDIUM,0.13953
bhl-js-0.10.7,LOW,0.03641
bibtex-parser-0.0.0,LOW,0.04871
bidi-css-js-3.1.0,MEDIUM,0.12152
bidi-js-1.0.3,MEDIUM,0.14172
bifrost-finance__api-1.11.9,LOW,0.04871
bifrost-finance__types-1.11.9,MEDIUM,0.07375
bigint-crypto-utils-3.3.0,MEDIUM,0.14172
bigint-mod-arith-3.3.1,LOW,0.04871
binarysearch-1.0.1,LOW,0.04871
bip322-js-3.0.0,LOW,0.0
bitclave__base-client-js-0.4.87,MEDIUM,0.07029
bitcoin-js__tiny-secp256k1-asmjs-2.2.4,LOW,0.00713
bitfield.js-1.4.0,LOW,0.04871
bitgo-forks__avalanchejs-4.1.0-alpha.1,LOW,0.03364
bitgo__avalanchejs-1.0.0-alpha.2,LOW,0.03364
bitmovin__api-sdk-1.250.0,MEDIUM,0.05061
bitrix24__b24jssdk-0.5.1,HIGH,0.44485
blackglory__mq-js-0.16.2,LOW,0.03742
blackglory__pubsub-js-9.0.0,LOW,0.00011
blackglory__store-js-0.18.0,LOW,0.03742
blake2s-1.1.0,LOW,0.04469
blanket-1.2.3,MEDIUM,0.10182
blinkdb-0.14.0,LOW,0.04879
blitz-3.0.2,MEDIUM,0.04963
blitzjs__auth-3.0.2,LOW,0.01362
blitzjs__babel-preset-0.43.0,LOW,0.04568
blitzjs__generator-3.0.2,LOW,0.02816
blitzjs__next-3.0.2,HIGH,0.8194
blitzjs__rpc-3.0.2,LOW,0.04566
blitzllama-js-1.1.5,LOW,0.02755
blockchain-api__bitcoin-js-1.1.3,LOW,0.04871
blocklet__quickjs-0.7.6,LOW,0.00527
bloom-filters-3.0.4,LOW,0.04549
bloomrun-4.1.1,LOW,0.04823
blossom-js-custom-element-0.42.0,LOW,0.02735
blossom-js-html-0.42.0,MEDIUM,0.05795
blossom-js-router-0.42.0,MEDIUM,0.0875
blotoutio__edgetag-sdk-js-1.36.0,LOW,0.00843
bluebase__storybook-addon-3.0.0,LOW,0.04871
bluecateng__smooth-reorder-2.1.3,LOW,0.04871
blueid__access-capacitor-12.3.0,MEDIUM,0.04923
blueking__crypto-js-sdk-0.0.5,LOW,2e-05
bmaplib.lushu-1.0.7,LOW,0.04871
bmaplib.markerclusterer-1.0.13,LOW,0.04089
bmaplib.texticonoverlay-1.0.2,LOW,0.02628
bmat-0.1.32,LOW,0.0435
bmp-js-0.1.0,LOW,0.01352
bn-1.0.5,MEDIUM,0.04916
bnb-chain__greenfield-chain-sdk-0.2.2,MEDIUM,0.0558
bnb-chain__greenfield-js-sdk-2.2.2,MEDIUM,0.07632
bodiless__cli-1.0.0-rc.23,LOW,0.02342
boilerz__build-tools-1.5.124,LOW,0.00064
boldpenguin__sdk-auth-14.1.0,MEDIUM,0.07253
boldpenguin__sdk-core-14.1.0,MEDIUM,0.0698
boldpenguin__sdk-http-9.11.1,LOW,0.00019
boldpenguin__sdk-polyfill-14.1.0,LOW,0.04871
boldpenguin__sdk-redux-14.1.0,MEDIUM,0.07639
boldpenguin__sdk-requests-14.1.0,LOW,0.0016
boldpenguin__sdk-types-14.1.0,MEDIUM,0.14172
boldpenguin__sdk-web-components-14.1.0,MEDIUM,0.06919
boldpenguin__sdk-websockets-14.1.0,LOW,0.04871
bootstrap-social-5.1.1,LOW,0.04233
bootstrap-styled__css-mixins-2.1.3,LOW,0.01768
borealisgroup__eslint-config-1.13.7,LOW,0.00984
botbuilder-storage-mongodb-1.0.17,LOW,0.04871
boxednode-3.0.0,MEDIUM,0.05248
bpmn-io__diagram-js-ui-0.2.3,LOW,0.04871
bpmn-io__dmn-variable-resolver-0.7.0,LOW,0.04871
bpmn-io__element-template-icon-renderer-1.0.0,LOW,0.04871
bpmn-io__extract-process-variables-1.0.1,LOW,0.01088
bpmn-io__form-js-carbon-styles-1.18.0,LOW,0.04806
bpmn-io__form-js-playground-1.18.0,LOW,0.03417
bpmn-io__variable-resolver-1.3.6,LOW,0.04871
bpmn-js-18.9.1,LOW,0.01734
bpmn-js-bpmnlint-0.23.0,MEDIUM,0.10517
bpmn-js-cli-2.4.0,LOW,0.04871
bpmn-js-cli-modeling-dsl-1.0.0,LOW,0.04871
bpmn-js-color-picker-0.7.2,LOW,0.0224
bpmn-js-connectors-extension-0.4.6,LOW,0.0109
bpmn-js-create-append-anything-1.0.1,LOW,0.01086
bpmn-js-disable-collapsed-subprocess-0.1.7,LOW,0.04871
bpmn-js-element-templates-2.16.1,LOW,0.01181
bpmn-js-embedded-comments-0.7.0,LOW,0.04871
bpmn-js-executable-fix-0.2.1,LOW,0.04871
bpmn-js-external-label-modeling-1.0.3,LOW,0.04871
bpmn-js-headless-0.1.0,LOW,0.01138
bpmn-js-i18n-2.3.0,LOW,0.04871
bpmn-js-i18n-zh-1.3.0,LOW,0.04621
bpmn-js-properties-panel-5.43.0,LOW,0.03204
bpmn-js-properties-panel-lifetex-6.0.8,LOW,0.03226
bpmn-js-signavio-compat-1.2.3,LOW,0.04783
bpmn-js-sketchy-0.7.2,MEDIUM,0.1423
bpmn-js-task-resize-1.2.0,LOW,0.04871
bpmn-js-token-simulation-0.38.1,LOW,0.02614
bpmn-js-tracking-0.6.0,LOW,0.04871
bqpjs-0.1.1,LOW,0.01088
braintree__uuid-1.0.1,LOW,0.01724
brandonblack__musig-0.0.1-alpha.1,LOW,0.04871
brasilapi-js-1.0.4,LOW,0.0109
braze__web-sdk-6.3.1,MEDIUM,0.08651
braze__web-sdk-core-3.5.1,LOW,0.02046
