threshold,TP,FP,TN,FN,fpr,fnr,n_pos,n_neg
0.0113,474,4124,1126,1,0.78552,0.00211,475,5250
0.0114,474,4117,1133,1,0.78419,0.00211,475,5250
0.0115,474,4113,1137,1,0.78343,0.00211,475,5250
0.0116,474,4111,1139,1,0.78305,0.00211,475,5250
0.0117,474,4110,1140,1,0.78286,0.00211,475,5250
0.0118,474,4110,1140,1,0.78286,0.00211,475,5250
0.0119,474,4107,1143,1,0.78229,0.00211,475,5250
0.012,474,4105,1145,1,0.7819,0.00211,475,5250
0.0121,474,4102,1148,1,0.78133,0.00211,475,5250
0.0122,474,4098,1152,1,0.78057,0.00211,475,5250
0.0123,474,4093,1157,1,0.77962,0.00211,475,5250
0.0124,473,4091,1159,2,0.77924,0.00421,475,5250
0.0125,473,4087,1163,2,0.77848,0.00421,475,5250
0.0126,473,4084,1166,2,0.7779,0.00421,475,5250
0.0127,473,4083,1167,2,0.77771,0.00421,475,5250
0.0128,473,4081,1169,2,0.77733,0.00421,475,5250
0.0129,473,4076,1174,2,0.77638,0.00421,475,5250
0.013,473,4071,1179,2,0.77543,0.00421,475,5250
0.0131,473,4065,1185,2,0.77429,0.00421,475,5250
0.0132,473,4063,1187,2,0.7739,0.00421,475,5250
0.0133,473,4060,1190,2,0.77333,0.00421,475,5250
0.0134,473,4054,1196,2,0.77219,0.00421,475,5250
0.0135,473,4040,1210,2,0.76952,0.00421,475,5250
0.0136,473,3468,1782,2,0.66057,0.00421,475,5250
0.0137,473,3455,1795,2,0.6581,0.00421,475,5250
0.0138,473,3448,1802,2,0.65676,0.00421,475,5250
0.0139,473,3443,1807,2,0.65581,0.00421,475,5250
0.014,473,3443,1807,2,0.65581,0.00421,475,5250
0.0141,473,3439,1811,2,0.65505,0.00421,475,5250
0.0142,473,3436,1814,2,0.65448,0.00421,475,5250
0.0143,473,3434,1816,2,0.6541,0.00421,475,5250
0.0144,473,3433,1817,2,0.6539,0.00421,475,5250
0.0145,473,3430,1820,2,0.65333,0.00421,475,5250
0.0146,473,3425,1825,2,0.65238,0.00421,475,5250
0.0147,473,3422,1828,2,0.65181,0.00421,475,5250
0.0148,473,3422,1828,2,0.65181,0.00421,475,5250
0.0149,473,3419,1831,2,0.65124,0.00421,475,5250
0.015,473,3415,1835,2,0.65048,0.00421,475,5250
0.0151,473,3412,1838,2,0.6499,0.00421,475,5250
0.0152,473,3405,1845,2,0.64857,0.00421,475,5250
0.0153,473,3404,1846,2,0.64838,0.00421,475,5250
0.0154,473,3401,1849,2,0.64781,0.00421,475,5250
0.0155,473,3400,1850,2,0.64762,0.00421,475,5250
0.0156,473,3398,1852,2,0.64724,0.00421,475,5250
0.0157,473,3396,1854,2,0.64686,0.00421,475,5250
0.0158,473,3395,1855,2,0.64667,0.00421,475,5250
0.0159,473,3394,1856,2,0.64648,0.00421,475,5250
0.016,473,3394,1856,2,0.64648,0.00421,475,5250
0.0161,473,3392,1858,2,0.6461,0.00421,475,5250
0.0162,473,3391,1859,2,0.6459,0.00421,475,5250
0.0163,473,3389,1861,2,0.64552,0.00421,475,5250
0.0164,473,3387,1863,2,0.64514,0.00421,475,5250
0.0165,473,3386,1864,2,0.64495,0.00421,475,5250
0.0166,473,3384,1866,2,0.64457,0.00421,475,5250
0.0167,473,3383,1867,2,0.64438,0.00421,475,5250
0.0168,473,3383,1867,2,0.64438,0.00421,475,5250
0.0169,473,3378,1872,2,0.64343,0.00421,475,5250
0.017,473,3376,1874,2,0.64305,0.00421,475,5250
0.0171,473,3376,1874,2,0.64305,0.00421,475,5250
0.0172,473,3374,1876,2,0.64267,0.00421,475,5250
0.0173,473,3371,1879,2,0.6421,0.00421,475,5250
0.0174,473,3368,1882,2,0.64152,0.00421,475,5250
0.0175,473,3366,1884,2,0.64114,0.00421,475,5250
0.0176,473,3365,1885,2,0.64095,0.00421,475,5250
0.0177,473,3363,1887,2,0.64057,0.00421,475,5250
0.0178,473,3362,1888,2,0.64038,0.00421,475,5250
0.0179,473,3361,1889,2,0.64019,0.00421,475,5250
0.018,473,3357,1893,2,0.63943,0.00421,475,5250
0.0181,473,3353,1897,2,0.63867,0.00421,475,5250
0.0182,473,3352,1898,2,0.63848,0.00421,475,5250
0.0183,473,3351,1899,2,0.63829,0.00421,475,5250
0.0184,473,3350,1900,2,0.6381,0.00421,475,5250
0.0185,473,3347,1903,2,0.63752,0.00421,475,5250
0.0186,473,3346,1904,2,0.63733,0.00421,475,5250
0.0187,473,3344,1906,2,0.63695,0.00421,475,5250
0.0188,473,3343,1907,2,0.63676,0.00421,475,5250
0.0189,473,3342,1908,2,0.63657,0.00421,475,5250
0.019,473,3340,1910,2,0.63619,0.00421,475,5250
0.0191,473,3339,1911,2,0.636,0.00421,475,5250
0.0192,473,3338,1912,2,0.63581,0.00421,475,5250
0.0193,473,3337,1913,2,0.63562,0.00421,475,5250
0.0194,473,3333,1917,2,0.63486,0.00421,475,5250
0.0195,473,3333,1917,2,0.63486,0.00421,475,5250
0.0196,473,3332,1918,2,0.63467,0.00421,475,5250
0.0197,472,3329,1921,3,0.6341,0.00632,475,5250
0.0198,472,3328,1922,3,0.6339,0.00632,475,5250
0.0199,472,3328,1922,3,0.6339,0.00632,475,5250
0.02,472,3328,1922,3,0.6339,0.00632,475,5250
0.0201,472,3327,1923,3,0.63371,0.00632,475,5250
0.0202,472,3325,1925,3,0.63333,0.00632,475,5250
0.0203,472,3323,1927,3,0.63295,0.00632,475,5250
0.0204,472,3320,1930,3,0.63238,0.00632,475,5250
0.0205,472,3318,1932,3,0.632,0.00632,475,5250
0.0206,472,3314,1936,3,0.63124,0.00632,475,5250
0.0207,472,3312,1938,3,0.63086,0.00632,475,5250
0.0208,472,3295,1955,3,0.62762,0.00632,475,5250
0.0209,472,3269,1981,3,0.62267,0.00632,475,5250
