PACKAGE_NAME,Risk,Forced Risk High (Preinstall),PROB_MALICIOUS,FEATURE_1,FEATURE_2,FEATURE_3,FEATURE_4,FEATURE_5,FEATURE_6,FEATURE_7,FEATURE_8,FEATURE_9,FEATURE_10
allure-js-commons-3.4.2,LOW,No,0.03133,E2_ext_ge_10000; lin=-0.44060; quad=-0.06576; raw=-0.50636; share=14.91%; severity=0.47% (=share*prob),A2_decode_variable; lin=-0.23571; quad=0.00100; raw=-0.23471; share=6.91%; severity=0.22% (=share*prob),F1_scripts_block; lin=-0.07748; quad=-0.11041; raw=-0.18789; share=5.53%; severity=0.17% (=share*prob),A2_decode_variable_density; lin=-0.11066; quad=-0.07052; raw=-0.18118; share=5.33%; severity=0.17% (=share*prob),C3_net_generic_request; lin=-0.15502; quad=-0.00322; raw=-0.15824; share=4.66%; severity=0.15% (=share*prob),B2_total_providers; lin=-0.14603; quad=-0.01144; raw=-0.15746; share=4.64%; severity=0.15% (=share*prob),A3_LOG_OR_MESSAGE_density; lin=-0.02821; quad=-0.12579; raw=-0.15400; share=4.53%; severity=0.14% (=share*prob),E2_ext_ge_100000; lin=-0.09777; quad=-0.05285; raw=-0.15062; share=4.43%; severity=0.14% (=share*prob),A3_LOG_OR_MESSAGE; lin=0.08648; quad=0.02608; raw=0.11255; share=3.31%; severity=0.10% (=share*prob),B2_total_events; lin=-0.08370; quad=0.00182; raw=-0.08188; share=2.41%; severity=0.08% (=share*prob)
allurereport__core-api-3.0.0-beta.23,LOW,No,0.05077,E2_ext_ge_10000; lin=-0.44060; quad=-0.06576; raw=-0.50636; share=17.67%; severity=0.90% (=share*prob),F1_scripts_block; lin=-0.07748; quad=-0.11041; raw=-0.18789; share=6.56%; severity=0.33% (=share*prob),C3_net_generic_request; lin=-0.15502; quad=-0.00322; raw=-0.15824; share=5.52%; severity=0.28% (=share*prob),B2_total_providers; lin=-0.14603; quad=-0.01144; raw=-0.15746; share=5.49%; severity=0.28% (=share*prob),E2_ext_ge_100000; lin=-0.09777; quad=-0.05285; raw=-0.15062; share=5.26%; severity=0.27% (=share*prob),B2_total_events; lin=-0.08370; quad=0.00182; raw=-0.08188; share=2.86%; severity=0.15% (=share*prob),B2_OTHER; lin=-0.08370; quad=0.00182; raw=-0.08188; share=2.86%; severity=0.15% (=share*prob),D1_publish; lin=0.07506; quad=0.00031; raw=0.07537; share=2.63%; severity=0.13% (=share*prob),A2_decode_variable; lin=0.07406; quad=0.00010; raw=0.07416; share=2.59%; severity=0.13% (=share*prob),E2_bin_ge_1000000; lin=-0.05499; quad=-0.01598; raw=-0.07097; share=2.48%; severity=0.13% (=share*prob)
allurereport__plugin-api-3.0.0-beta.23,LOW,No,0.05077,E2_ext_ge_10000; lin=-0.44060; quad=-0.06576; raw=-0.50636; share=17.67%; severity=0.90% (=share*prob),F1_scripts_block; lin=-0.07748; quad=-0.11041; raw=-0.18789; share=6.56%; severity=0.33% (=share*prob),C3_net_generic_request; lin=-0.15502; quad=-0.00322; raw=-0.15824; share=5.52%; severity=0.28% (=share*prob),B2_total_providers; lin=-0.14603; quad=-0.01144; raw=-0.15746; share=5.49%; severity=0.28% (=share*prob),E2_ext_ge_100000; lin=-0.09777; quad=-0.05285; raw=-0.15062; share=5.26%; severity=0.27% (=share*prob),B2_total_events; lin=-0.08370; quad=0.00182; raw=-0.08188; share=2.86%; severity=0.15% (=share*prob),B2_OTHER; lin=-0.08370; quad=0.00182; raw=-0.08188; share=2.86%; severity=0.15% (=share*prob),D1_publish; lin=0.07506; quad=0.00031; raw=0.07537; share=2.63%; severity=0.13% (=share*prob),A2_decode_variable; lin=0.07406; quad=0.00010; raw=0.07416; share=2.59%; severity=0.13% (=share*prob),E2_bin_ge_1000000; lin=-0.05499; quad=-0.01598; raw=-0.07097; share=2.48%; severity=0.13% (=share*prob)
allurereport__reader-api-3.0.0-beta.23,LOW,No,0.0,A1_dynamic_variable_density; lin=-1.37810; quad=-20.35976; raw=-21.73785; share=74.71%; severity=0.00% (=share*prob),A1_total_density; lin=0.09741; quad=-4.54045; raw=-4.44304; share=15.27%; severity=0.00% (=share*prob),E2_ext_ge_10000; lin=-0.44060; quad=-0.06576; raw=-0.50636; share=1.74%; severity=0.00% (=share*prob),F1_scripts_block; lin=-0.07748; quad=-0.11041; raw=-0.18789; share=0.65%; severity=0.00% (=share*prob),C3_net_generic_request; lin=-0.15502; quad=-0.00322; raw=-0.15824; share=0.54%; severity=0.00% (=share*prob),B2_total_providers; lin=-0.14603; quad=-0.01144; raw=-0.15746; share=0.54%; severity=0.00% (=share*prob),E2_ext_ge_100000; lin=-0.09777; quad=-0.05285; raw=-0.15062; share=0.52%; severity=0.00% (=share*prob),A1_dynamic_variable; lin=0.08318; quad=-0.00094; raw=0.08223; share=0.28%; severity=0.00% (=share*prob),B2_total_events; lin=-0.08370; quad=0.00182; raw=-0.08188; share=0.28%; severity=0.00% (=share*prob),B2_OTHER; lin=-0.08370; quad=0.00182; raw=-0.08188; share=0.28%; severity=0.00% (=share*prob)
alwaysmeticulous__api-2.248.0,MEDIUM,No,0.08969,C3_net_websocket; lin=0.95809; quad=-0.18381; raw=0.77428; share=20.92%; severity=1.88% (=share*prob),E2_ext_ge_10000; lin=-0.44060; quad=-0.06576; raw=-0.50636; share=13.68%; severity=1.23% (=share*prob),F1_scripts_block; lin=-0.07748; quad=-0.11041; raw=-0.18789; share=5.08%; severity=0.46% (=share*prob),C3_net_generic_request; lin=-0.15502; quad=-0.00322; raw=-0.15824; share=4.28%; severity=0.38% (=share*prob),B2_total_providers; lin=-0.14603; quad=-0.01144; raw=-0.15746; share=4.25%; severity=0.38% (=share*prob),E2_ext_ge_100000; lin=-0.09777; quad=-0.05285; raw=-0.15062; share=4.07%; severity=0.37% (=share*prob),B2_total_events; lin=-0.08370; quad=0.00182; raw=-0.08188; share=2.21%; severity=0.20% (=share*prob),B2_OTHER; lin=-0.08370; quad=0.00182; raw=-0.08188; share=2.21%; severity=0.20% (=share*prob),D1_publish; lin=0.07506; quad=0.00031; raw=0.07537; share=2.04%; severity=0.18% (=share*prob),A2_decode_variable; lin=0.07406; quad=0.00010; raw=0.07416; share=2.00%; severity=0.18% (=share*prob)
amazon-sp-api-1.2.0,MEDIUM,No,0.065,E2_ext_ge_10000; lin=-0.44060; quad=-0.06576; raw=-0.50636; share=16.86%; severity=1.10% (=share*prob),C3_net_node_http_module; lin=0.20977; quad=-0.00078; raw=0.20899; share=6.96%; severity=0.45% (=share*prob),F1_scripts_block; lin=-0.07748; quad=-0.11041; raw=-0.18789; share=6.25%; severity=0.41% (=share*prob),B2_total_providers; lin=-0.14603; quad=-0.01144; raw=-0.15746; share=5.24%; severity=0.34% (=share*prob),E2_ext_ge_100000; lin=-0.09777; quad=-0.05285; raw=-0.15062; share=5.01%; severity=0.33% (=share*prob),C3_net_generic_request; lin=-0.10096; quad=-0.00136; raw=-0.10232; share=3.41%; severity=0.22% (=share*prob),B2_total_events; lin=-0.08370; quad=0.00182; raw=-0.08188; share=2.73%; severity=0.18% (=share*prob),B2_OTHER; lin=-0.08370; quad=0.00182; raw=-0.08188; share=2.73%; severity=0.18% (=share*prob),D1_publish; lin=0.07506; quad=0.00031; raw=0.07537; share=2.51%; severity=0.16% (=share*prob),A2_decode_variable; lin=0.07406; quad=0.00010; raw=0.07416; share=2.47%; severity=0.16% (=share*prob)
amf-json-ld-lib-0.0.15,LOW,No,0.04487,E2_ext_ge_10000; lin=-0.44060; quad=-0.06576; raw=-0.50636; share=17.51%; severity=0.79% (=share*prob),F1_scripts_block; lin=-0.07748; quad=-0.11041; raw=-0.18789; share=6.50%; severity=0.29% (=share*prob),C3_net_generic_request; lin=-0.15502; quad=-0.00322; raw=-0.15824; share=5.47%; severity=0.25% (=share*prob),B2_total_providers; lin=-0.14603; quad=-0.01144; raw=-0.15746; share=5.44%; severity=0.24% (=share*prob),E2_ext_ge_100000; lin=-0.09777; quad=-0.05285; raw=-0.15062; share=5.21%; severity=0.23% (=share*prob),B2_total_events; lin=-0.08370; quad=0.00182; raw=-0.08188; share=2.83%; severity=0.13% (=share*prob),B2_OTHER; lin=-0.08370; quad=0.00182; raw=-0.08188; share=2.83%; severity=0.13% (=share*prob),D1_publish; lin=0.07506; quad=0.00031; raw=0.07537; share=2.61%; severity=0.12% (=share*prob),A2_decode_variable; lin=0.07406; quad=0.00010; raw=0.07416; share=2.56%; severity=0.12% (=share*prob),E2_bin_ge_1000000; lin=-0.05499; quad=-0.01598; raw=-0.07097; share=2.45%; severity=0.11% (=share*prob)
angular-architects__module-federation-runtime-20.0.0,LOW,No,0.00926,F1_scripts_block; lin=0.31646; quad=-1.84179; raw=-1.52533; share=33.49%; severity=0.31% (=share*prob),E2_ext_ge_10000; lin=-0.44060; quad=-0.06576; raw=-0.50636; share=11.12%; severity=0.10% (=share*prob),C3_net_fetch_density; lin=-0.20001; quad=-0.21412; raw=-0.41413; share=9.09%; severity=0.08% (=share*prob),C3_net_generic_request; lin=-0.15502; quad=-0.00322; raw=-0.15824; share=3.47%; severity=0.03% (=share*prob),B2_total_providers; lin=-0.14603; quad=-0.01144; raw=-0.15746; share=3.46%; severity=0.03% (=share*prob),E2_ext_ge_100000; lin=-0.09777; quad=-0.05285; raw=-0.15062; share=3.31%; severity=0.03% (=share*prob),B2_total_events; lin=-0.08370; quad=0.00182; raw=-0.08188; share=1.80%; severity=0.02% (=share*prob),B2_OTHER; lin=-0.08370; quad=0.00182; raw=-0.08188; share=1.80%; severity=0.02% (=share*prob),D1_publish; lin=0.07506; quad=0.00031; raw=0.07537; share=1.66%; severity=0.02% (=share*prob),A2_decode_variable; lin=0.07406; quad=0.00010; raw=0.07416; share=1.63%; severity=0.02% (=share*prob)
angular-auth-oidc-client-20.0.3,LOW,No,0.00139,C2_cloud_auth_density; lin=0.41117; quad=-3.07132; raw=-2.66016; share=35.27%; severity=0.05% (=share*prob),F1_scripts_block; lin=0.31646; quad=-1.84179; raw=-1.52533; share=20.22%; severity=0.03% (=share*prob),C2_total_hits; lin=0.46900; quad=0.15687; raw=0.62588; share=8.30%; severity=0.01% (=share*prob),E2_ext_ge_10000; lin=-0.44060; quad=-0.06576; raw=-0.50636; share=6.71%; severity=0.01% (=share*prob),C2_total_hits_density; lin=-0.06630; quad=-0.10446; raw=-0.17075; share=2.26%; severity=0.00% (=share*prob),C3_net_generic_request; lin=-0.15502; quad=-0.00322; raw=-0.15824; share=2.10%; severity=0.00% (=share*prob),B2_total_providers; lin=-0.14603; quad=-0.01144; raw=-0.15746; share=2.09%; severity=0.00% (=share*prob),E2_ext_ge_100000; lin=-0.09777; quad=-0.05285; raw=-0.15062; share=2.00%; severity=0.00% (=share*prob),B2_total_events; lin=-0.08370; quad=0.00182; raw=-0.08188; share=1.09%; severity=0.00% (=share*prob),B2_OTHER; lin=-0.08370; quad=0.00182; raw=-0.08188; share=1.09%; severity=0.00% (=share*prob)
ansi-html-0.0.9,LOW,No,0.04344,E2_ext_ge_10000; lin=-0.44060; quad=-0.06576; raw=-0.50636; share=17.02%; severity=0.74% (=share*prob),F1_scripts_block; lin=-0.07748; quad=-0.11041; raw=-0.18789; share=6.31%; severity=0.27% (=share*prob),C3_net_generic_request; lin=-0.15502; quad=-0.00322; raw=-0.15824; share=5.32%; severity=0.23% (=share*prob),B2_total_providers; lin=-0.14603; quad=-0.01144; raw=-0.15746; share=5.29%; severity=0.23% (=share*prob),E2_ext_ge_100000; lin=-0.09777; quad=-0.05285; raw=-0.15062; share=5.06%; severity=0.22% (=share*prob),C1_DEV_HOST_density; lin=-0.03171; quad=-0.10771; raw=-0.13942; share=4.69%; severity=0.20% (=share*prob),B2_total_events; lin=-0.08370; quad=0.00182; raw=-0.08188; share=2.75%; severity=0.12% (=share*prob),B2_OTHER; lin=-0.08370; quad=0.00182; raw=-0.08188; share=2.75%; severity=0.12% (=share*prob),D1_publish; lin=0.07506; quad=0.00031; raw=0.07537; share=2.53%; severity=0.11% (=share*prob),A2_decode_variable; lin=0.07406; quad=0.00010; raw=0.07416; share=2.49%; severity=0.11% (=share*prob)
