Filename,Package Name,Risk Level,Malicious Probability,High Threshold,Medium Threshold
_actbase+react-native-actionsheet_1.0.3_1764725605_report.json,@actbase/react-native-actionsheet@1.0.3,HIGH,0.7748,0.7748,0.3440
zapier-async-storage_1.0.1_1764727648_report.json,zapier-async-storage@1.0.1,MEDIUM,0.5747,0.7748,0.3440
bidirectional-adapter_1.2.3_1764727065_report.json,bidirectional-adapter@1.2.3,HIGH,0.7748,0.7748,0.3440
_voiceflow+openai_3.2.3_1764726858_report.json,@voiceflow/openai@3.2.3,HIGH,0.7748,0.7748,0.3440
_faq-component+core_0.0.4_1764726171_report.json,@faq-component/core@0.0.4,LOW,0.0634,0.7748,0.3440
react-native-worklet-functions_3.3.3_1764727532_report.json,react-native-worklet-functions@3.3.3,MEDIUM,0.3440,0.7748,0.3440
_clausehq+flows-step-taskscreateurl_0.1.14_1764725977_report.json,@clausehq/flows-step-taskscreateurl@0.1.14,LOW,0.0634,0.7748,0.3440
gate-evm-tools-test_1.0.6_1764727219_report.json,gate-evm-tools-test@1.0.6,HIGH,0.7748,0.7748,0.3440
_voiceflow+alexa-types_2.15.60_1764726790_report.json,@voiceflow/alexa-types@2.15.60,HIGH,0.7748,0.7748,0.3440
composite-reducer_1.0.3_1764727115_report.json,composite-reducer@1.0.3,HIGH,0.9943,0.7748,0.3440
email-deliverability-tester_1.1.1_1764727147_report.json,email-deliverability-tester@1.1.1,HIGH,0.7748,0.7748,0.3440
zapier-platform-schema_18.0.3_1764727645_report.json,zapier-platform-schema@18.0.3,MEDIUM,0.5747,0.7748,0.3440
_ensdomains+subdomain-registrar_0.2.4_1764726151_report.json,@ensdomains/subdomain-registrar@0.2.4,HIGH,1.0000,0.7748,0.3440
_voiceflow+runtime-client-js_1.17.3_1764726902_report.json,@voiceflow/runtime-client-js@1.17.3,LOW,0.0634,0.7748,0.3440
rediff_1.0.5_1764727520_report.json,rediff@1.0.5,MEDIUM,0.5747,0.7748,0.3440
_voiceflow+chat-types_2.14.59_1764726801_report.json,@voiceflow/chat-types@2.14.59,HIGH,0.7748,0.7748,0.3440
_everreal+web-analytics_0.0.2_1764726160_report.json,@everreal/web-analytics@0.0.2,LOW,0.0634,0.7748,0.3440
itobuz-angular-button_8.0.11_1764727226_report.json,itobuz-angular-button@8.0.11,HIGH,0.7748,0.7748,0.3440
_asyncapi+markdown-template_1.6.8_1764725945_report.json,@asyncapi/markdown-template@1.6.8,HIGH,1.0000,0.7748,0.3440
bidirectional-adapter_1.2.5_1764727068_report.json,bidirectional-adapter@1.2.5,HIGH,0.7748,0.7748,0.3440
_voiceflow+nestjs-common_2.75.3_1764726873_report.json,@voiceflow/nestjs-common@2.75.3,LOW,0.0634,0.7748,0.3440
composite-reducer_1.0.4_1764727116_report.json,composite-reducer@1.0.4,HIGH,0.9943,0.7748,0.3440
_voiceflow+natural-language-commander_0.5.3_1764726871_report.json,@voiceflow/natural-language-commander@0.5.3,HIGH,0.7748,0.7748,0.3440
_postman+pm-bin-macos-x64_1.24.5_1764726635_report.json,@postman/pm-bin-macos-x64@1.24.5,LOW,0.0634,0.7748,0.3440
create-glee-app_0.2.3_1764727108_report.json,create-glee-app@0.2.3,LOW,0.0634,0.7748,0.3440
_actbase+react-native-kakao-channel_1.0.2_1764725652_report.json,@actbase/react-native-kakao-channel@1.0.2,HIGH,0.7748,0.7748,0.3440
shinhan-limit-scrap_1.0.3_1764727625_report.json,shinhan-limit-scrap@1.0.3,HIGH,0.9400,0.7748,0.3440
_posthog+core_1.5.6_1764726427_report.json,@posthog/core@1.5.6,LOW,0.0634,0.7748,0.3440
_postman+pretty-ms_6.1.2_1764726682_report.json,@postman/pretty-ms@6.1.2,MEDIUM,0.5747,0.7748,0.3440
_mcp-use+inspector_0.6.2_1764726417_report.json,@mcp-use/inspector@0.6.2,LOW,0.0634,0.7748,0.3440
_posthog+taxonomy-plugin_0.0.8_1764726522_report.json,@posthog/taxonomy-plugin@0.0.8,HIGH,0.9943,0.7748,0.3440
okta-react-router-6_5.0.1_1764727411_report.json,okta-react-router-6@5.0.1,LOW,0.0634,0.7748,0.3440
_voiceflow+test-common_2.1.2_1764726889_report.json,@voiceflow/test-common@2.1.2,HIGH,0.7748,0.7748,0.3440
_aryanhussain+my-angular-lib_0.0.23_1764725669_report.json,@aryanhussain/my-angular-lib@0.0.23,HIGH,0.7748,0.7748,0.3440
02-echo_0.0.7_1764725565_report.json,02-echo@0.0.7,HIGH,0.7748,0.7748,0.3440
undefsafe-typed_1.0.3_1764727577_report.json,undefsafe-typed@1.0.3,LOW,0.0634,0.7748,0.3440
_everreal+validate-esmoduleinterop-imports_1.4.4_1764726134_report.json,@everreal/validate-esmoduleinterop-imports@1.4.4,HIGH,0.7748,0.7748,0.3440
_actbase+native_0.1.32_1764725612_report.json,@actbase/native@0.1.32,LOW,0.0634,0.7748,0.3440
_postman+postman-collection-fork_4.3.5_1764726667_report.json,@postman/postman-collection-fork@4.3.5,HIGH,0.7748,0.7748,0.3440
_voiceflow+chat-types_2.14.58_1764726800_report.json,@voiceflow/chat-types@2.14.58,HIGH,0.7748,0.7748,0.3440
docusaurus-plugin-vanilla-extract_1.0.3_1764727188_report.json,docusaurus-plugin-vanilla-extract@1.0.3,HIGH,0.7748,0.7748,0.3440
dialogflow-es_1.1.4_1764727110_report.json,dialogflow-es@1.1.4,LOW,0.0634,0.7748,0.3440
jquery-bindings_1.1.2_1764727250_report.json,jquery-bindings@1.1.2,MEDIUM,0.5747,0.7748,0.3440
_voiceflow+fetch_1.11.1_1764726849_report.json,@voiceflow/fetch@1.11.1,HIGH,1.0000,0.7748,0.3440
_posthog+first-time-event-tracker_0.0.8_1764726481_report.json,@posthog/first-time-event-tracker@0.0.8,HIGH,0.7748,0.7748,0.3440
drop-events-on-property-plugin_0.0.2_1764727112_report.json,drop-events-on-property-plugin@0.0.2,HIGH,0.7748,0.7748,0.3440
_postman+pm-bin-windows-x64_1.24.3_1764726633_report.json,@postman/pm-bin-windows-x64@1.24.3,LOW,0.0325,0.7748,0.3440
_postman+tunnel-agent_0.6.5_1764726656_report.json,@postman/tunnel-agent@0.6.5,HIGH,0.7748,0.7748,0.3440
_posthog+agent_1.24.1_1764726446_report.json,@posthog/agent@1.24.1,MEDIUM,0.6824,0.7748,0.3440
create-director-app_0.1.1_1764727074_report.json,create-director-app@0.1.1,LOW,0.0634,0.7748,0.3440
_voiceflow+voiceflow-types_3.32.46_1764726915_report.json,@voiceflow/voiceflow-types@3.32.46,HIGH,0.7748,0.7748,0.3440
_postman+aether-icons_2.23.4_1764726515_report.json,@postman/aether-icons@2.23.4,LOW,0.0634,0.7748,0.3440
_alexcolls+nuxt-ux_0.6.2_1764725711_report.json,@alexcolls/nuxt-ux@0.6.2,LOW,0.0634,0.7748,0.3440
_asyncapi+multi-parser_2.2.2_1764725815_report.json,@asyncapi/multi-parser@2.2.2,HIGH,1.0000,0.7748,0.3440
_faq-component+react_1.0.1_1764726158_report.json,@faq-component/react@1.0.1,LOW,0.0634,0.7748,0.3440
react-native-get-pixel-dimensions_1.0.1_1764727510_report.json,react-native-get-pixel-dimensions@1.0.1,MEDIUM,0.5747,0.7748,0.3440
_ensdomains+hardhat-toolbox-viem-extended_0.0.6_1764726123_report.json,@ensdomains/hardhat-toolbox-viem-extended@0.0.6,HIGH,0.7748,0.7748,0.3440
gitsafe_1.0.5_1764727185_report.json,gitsafe@1.0.5,MEDIUM,0.5747,0.7748,0.3440
