Package_Name,Dynamic_Prob,Dynamic_Risk_Level,Static_Prob,Static_Risk_Level
@posthog/core,0.0634,LOW,0.87368,HIGH
@mcp-use/inspector,0.0634,LOW,0,HIGH
@mcp-use/inspector,0.0634,LOW,0,HIGH
@posthog/taxonomy-plugin,0.9943,HIGH,0.87975,HIGH
okta-react-router-6,0.0634,LOW,0.88005,HIGH
@voiceflow/test-common,0.7748,HIGH,0.04653,HIGH
@voiceflow/test-common,0.7748,HIGH,0.04653,HIGH
@aryanhussain/my-angular-lib,0.7748,HIGH,0.88047,HIGH
02-echo,0.7748,HIGH,0.87968,HIGH
undefsafe-typed,0.0634,LOW,0.0465,HIGH
undefsafe-typed,0.0634,LOW,0.0465,HIGH
@everreal/validate-esmoduleinterop-imports,0.7748,HIGH,0.04656,HIGH
@everreal/validate-esmoduleinterop-imports,0.7748,HIGH,0.04656,HIGH
@actbase/native,0.0634,LOW,0.88076,HIGH
docusaurus-plugin-vanilla-extract,0.7748,HIGH,0.8797,HIGH
jquery-bindings,0.5747,MEDIUM,0.04639,HIGH
jquery-bindings,0.5747,MEDIUM,0.04639,HIGH
@voiceflow/fetch,1,HIGH,0.04651,HIGH
@voiceflow/fetch,1,HIGH,0.04651,HIGH
@posthog/first-time-event-tracker,0.7748,HIGH,0.87975,HIGH
drop-events-on-property-plugin,0.7748,HIGH,0.87967,HIGH
@postman/pm-bin-windows-x64,0.0325,LOW,0,HIGH
@postman/pm-bin-windows-x64,0.0634,LOW,0,HIGH
@postman/pm-bin-windows-x64,0.0634,LOW,0,HIGH
@postman/tunnel-agent,0.7748,HIGH,0.00952,HIGH
@postman/tunnel-agent,0.7748,HIGH,0.00952,HIGH
@posthog/agent,0.6824,MEDIUM,1,HIGH
create-director-app,0.0634,LOW,0.97648,HIGH
@voiceflow/voiceflow-types,0.7748,HIGH,0.89047,HIGH
@postman/aether-icons,0.0634,LOW,0,HIGH
@postman/aether-icons,0.0634,LOW,0,HIGH
@postman/aether-icons,0.0634,LOW,0,HIGH
@alexcolls/nuxt-ux,0.0634,LOW,0.8804,HIGH
@asyncapi/multi-parser,1,HIGH,0.87974,HIGH
@faq-component/react,0.0634,LOW,0.87971,HIGH
react-native-get-pixel-dimensions,0.5747,MEDIUM,0.87969,HIGH
@ensdomains/hardhat-toolbox-viem-extended,0.7748,HIGH,0.87985,HIGH
gitsafe,0.5747,MEDIUM,0.64138,HIGH
@dev-blinq/cucumber-js,0.7748,HIGH,0.93145,HIGH
url-encode-decode,0.5747,MEDIUM,0.87969,HIGH
@voiceflow/tsconfig-paths,0.7748,HIGH,0.04653,HIGH
@voiceflow/tsconfig-paths,0.7748,HIGH,0.04653,HIGH
@quick-start-soft/quick-document-translator,0.0634,LOW,0.45236,HIGH
@asyncapi/protobuf-schema-parser,1,HIGH,0.78469,HIGH
@asyncapi/protobuf-schema-parser,1,HIGH,0.78469,HIGH
@mcp-use/cli,1,HIGH,0.00001,HIGH
@mcp-use/cli,1,HIGH,0.00001,HIGH
@voiceflow/encryption,0.7748,HIGH,0.11486,HIGH
@voiceflow/encryption,0.2441,LOW,0.11486,HIGH
axios-timed,0.9785,HIGH,0.87969,HIGH
@asyncapi/server-api,0.95,HIGH,0.96622,HIGH
designstudiouiux,0.2441,LOW,0.87967,HIGH
@posthog/twitter-followers-plugin,0.9943,HIGH,0.88032,HIGH
@ensdomains/hardhat-chai-matchers-viem,0.6824,MEDIUM,0.88078,HIGH
n8n-nodes-viral-app,0.5747,MEDIUM,0.88041,HIGH
@zapier/mcp-integration,0.6824,MEDIUM,0.01041,HIGH
@zapier/mcp-integration,0.6824,MEDIUM,0.01041,HIGH
@postman/wdio-junit-reporter,0.7748,HIGH,0,HIGH
@postman/wdio-junit-reporter,0.7748,HIGH,0,HIGH
@postman/wdio-junit-reporter,0.7748,HIGH,0,HIGH
expo-audio-session,0.9025,HIGH,0.63275,HIGH
@asyncapi/converter,0.7748,HIGH,0.88059,HIGH
jsonsurge,0.344,MEDIUM,0.8797,HIGH
@ensdomains/ccip-read-worker-viem,0.6824,MEDIUM,0.87972,HIGH
@ifelsedeveloper/protocol-contracts-svm-idl,0.7748,HIGH,0.88426,HIGH
@actbase/react-native-naver-login,0.7748,HIGH,0.87976,HIGH
discord-bot-server,0.7748,HIGH,0.87989,HIGH
@postman/postman-mcp-cli,0.344,MEDIUM,0.0468,HIGH
@postman/postman-mcp-cli,0.344,MEDIUM,0.0468,HIGH
medusa-plugin-logs,0.0634,LOW,0.63308,HIGH
@voiceflow/exception,0.7748,HIGH,0.04653,HIGH
@voiceflow/exception,0.2441,LOW,0.04653,HIGH
@lessondesk/schoolbus,0.624,MEDIUM,0.64385,HIGH
@accordproject/template-engine,1,HIGH,0,HIGH
@voiceflow/dependency-cruiser-config,0.7748,HIGH,0.04646,HIGH
@voiceflow/dependency-cruiser-config,0.7748,HIGH,0.04646,HIGH
@strapbuild/react-native-perspective-image-cropper,0.7748,HIGH,0.96653,HIGH
@postman/csv-parse,0.7748,HIGH,0.00142,HIGH
@postman/csv-parse,0.7748,HIGH,0.00142,HIGH
@ensdomains/server-analytics,1,HIGH,0.88034,HIGH
gate-evm-check-code2,0.0634,LOW,0,HIGH
gate-evm-check-code2,0.0634,LOW,0,HIGH
gate-evm-check-code2,0.0634,LOW,0,HIGH
@hapheus/n8n-nodes-pgp,1,HIGH,0.82069,HIGH
ra-data-firebase,0.5747,MEDIUM,0.88023,HIGH
react-native-view-finder,0.5747,MEDIUM,0.87973,HIGH
calc-loan-interest,0.0634,LOW,0.87971,HIGH
